,year,회사명,거래소코드,회계년도,PER(최고),PER(최저),PBR(최고),PBR(최저),PCR(최고),PCR(최저),PSR(최고),PSR(최저)
5384,2008,삼성전자(주),005930,2007/12,15.74,11.46,2.34,1.7,8.81,6.41,1.85,1.35
5385,2008,포스코홀딩스(주),005490,2007/12,18.13,6.74,2.81,1.05,13.15,4.89,3.0,1.12
5386,2008,한국전력공사(주),015760,2007/12,19.86,15.08,0.71,0.54,12.13,9.21,1.07,0.81
5387,2008,에스케이텔레콤(주),017670,2007/12,13.77,9.27,2.45,1.65,6.08,4.09,2.0,1.35
5388,2008,에이치디한국조선해양(주),009540,2007/12,24.08,5.25,8.73,1.9,10.16,2.22,2.69,0.59
5390,2008,(주)케이티앤지,033780,2007/12,18.68,11.89,4.41,2.81,14.27,9.08,5.12,3.26
5391,2008,엘지전자(주),066570,2007/12,14.96,6.8,2.72,1.24,14.52,6.6,0.78,0.35
5392,2008,(주)케이티,030200,2007/12,16.38,11.5,1.95,1.37,5.22,3.66,1.31,0.92
5393,2008,(주)신세계,004170,2007/12,29.2,19.48,4.45,2.97,19.05,12.7,1.74,1.16
5395,2008,현대자동차(주),005380,2007/12,14.06,9.83,1.43,1.0,10.26,7.17,0.78,0.54
5396,2008,엘지디스플레이(주),034220,2007/12,15.63,6.92,2.66,1.18,7.04,3.12,1.48,0.66
5397,2008,(주)엘지,003550,2007/12,17.72,5.32,3.0,0.9,81.31,24.4,15.63,4.69
5399,2008,에쓰-오일(주),010950,2007/12,13.75,9.76,3.06,2.17,19.82,14.08,0.67,0.48
5400,2008,두산에너빌리티(주),034020,2007/12,67.15,13.96,9.58,1.99,54.75,11.38,4.9,1.02
5401,2008,현대건설(주),000720,2007/12,41.4,18.76,5.08,2.3,56.02,25.38,2.03,0.92
5402,2008,네이버(주),035420,2007/12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5403,2008,삼성물산(주),000830,2007/12,30.51,9.51,3.08,0.96,117.45,36.61,1.53,0.48
5404,2008,롯데쇼핑(주),023530,2007/12,19.02,13.06,1.63,1.12,14.3,9.82,1.34,0.92
5405,2008,(주)케이티프리텔,032390,2007/12,28.97,19.38,2.04,1.37,4.86,3.25,0.97,0.65
5406,2008,현대모비스(주),012330,2007/12,12.45,8.36,2.38,1.6,32.55,21.85,1.14,0.76
5407,2008,(주)엘지화학,051910,2007/12,16.87,5.08,2.97,0.89,11.59,3.49,1.07,0.32
5408,2008,삼성중공업(주),010140,2007/12,27.22,9.64,7.77,2.75,9.53,3.38,1.55,0.55
5410,2008,에이치엠엠(주),011200,2007/12,51.8,14.76,4.66,1.33,21.68,6.18,1.8,0.51
5411,2008,오씨아이홀딩스(주),010060,2007/12,57.57,5.64,7.64,0.75,28.76,2.82,5.82,0.57
5413,2008,한국가스공사(주),036460,2007/12,16.72,7.32,1.68,0.73,4.62,2.02,0.43,0.19
